year,date,temp_c,feels_like,humidity,wind_kph,weather,clouds,rain_mm
2000,2000-05-21,14.97,13.7,45,7.6,few clouds,20,0.0
2001,2001-05-20,16.18,15.13,49,7.2,broken clouds,75,0.0
2002,2002-05-26,12.43,12.05,89,21.6,light rain,40,0.26
2003,2003-05-25,24.67,24.76,60,25.2,clear sky,9,0.0
2004,2004-05-16,13.02,12.0,62,21.6,few clouds,20,0.0
2005,2005-05-22,21.23,21.11,65,16.8,overcast clouds,86,0.0
2006,2006-05-07,14.3,13.54,67,7.2,few clouds,11,0.0
2007,2007-04-29,18.13,17.62,62,18.0,scattered clouds,44,0.0
2008,2008-04-27,15.0,14.07,58,14.4,clear sky,0,0.0
2009,2009-04-19,15.69,14.99,64,3.6,clear sky,5,0.0
2010,2010-04-18,13.29,12.01,51,32.4,scattered clouds,40,0.0
2011,2011-04-17,11.87,10.52,54,7.2,clear sky,6,0.0
2012,2012-04-15,10.39,9.78,88,18.0,overcast clouds,100,0.0
2013,2013-04-14,15.6,14.47,48,10.8,scattered clouds,33,0.0
2014,2014-04-13,12.8,11.89,67,18.0,light rain,75,0.18
2015,2015-04-12,16.92,16.18,58,17.2,light rain,100,0.12
2016,2016-04-10,9.5,6.3,69,25.2,scattered clouds,40,0.0
2017,2017-04-23,9.13,5.82,50,25.2,few clouds,20,0.0
2018,2018-04-22,21.66,21.19,50,14.4,few clouds,24,0.0
2019,2019-04-07,13.0,12.13,68,27.4,scattered clouds,40,0.0
2021,2021-09-12,23.3,23.38,65,4.8,clear sky,10,0.0
2022,2022-04-24,15.24,14.6,68,32.2,overcast clouds,100,0.0
2023,2023-04-23,19.36,18.76,54,4.8,overcast clouds,95,0.0
2024,2024-04-21,8.41,4.85,58,25.7,overcast clouds,85,0.0
2025,2025-04-06,3.56,-2.64,46,40.2,overcast clouds,100,0.0
2026,2026-04-19,19.34,18.64,50,1.6,overcast clouds,96,0.0
